DBN,School Name,Borough,District,Grade Span,Enrollment,ELA Students Tested,ELA Mean Scale Score,ELA % Proficient,ELA % Level 4,ELA Proficiency Percentile (NYC Schools),Math Students Tested,Math Mean Scale Score,Math % Proficient,Math % Level 4,Math Proficiency Percentile (NYC Schools),Average % Proficient,Average Proficiency Percentile (NYC Schools),% Asian and Pacific Islander,% Black,% Hispanic,% White,% Multi-Racial,% Native American,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
25Q129,P.S. 129 Patricia Larkin,Queens,25,3K-5,995,474,442.1,37.8,12.7,37.6,479,453.7,57.0,18.8,49.0,47.4,43.3,21.7,1.0,68.4,6.6,1.0,1.2,23.1,31.4,84.0,77.2
32K145,P.S. 145 Andrew Jackson,Brooklyn,32,3K-5,473,158,441.6,36.1,13.9,34.8,157,453.6,58.6,17.2,52.0,47.3,43.4,1.9,10.4,79.7,5.5,1.5,0.0,37.0,13.7,82.7,84.7
21K099,P.S. 099 Isaac Asimov,Brooklyn,21,PK-8,825,512,445.4,42.8,18.0,46.9,519,452.1,51.8,18.1,41.2,47.3,44.0,48.4,3.8,17.7,28.4,0.8,1.0,13.5,32.8,85.6,84.5
17K161,P.S. 161 The Crown,Brooklyn,17,PK-5,299,133,446.3,40.6,15.8,43.3,130,454.9,53.8,20.0,44.4,47.2,43.9,6.7,64.5,21.7,4.7,0.7,1.3,30.4,14.7,92.6,87.7
27Q197,P.S. 197 The Ocean School,Queens,27,3K-5,414,163,443.3,37.4,9.8,37.0,165,454.4,57.0,17.0,48.9,47.2,43.0,1.0,43.5,51.0,1.7,0.7,2.2,31.9,12.6,90.6,91.3
23K137,P.S. 137 Rachel Jean Mitchell,Brooklyn,23,3K-5,152,37,441.1,40.5,16.2,43.1,41,448.5,53.7,9.8,44.0,47.1,43.6,0.7,59.2,24.3,7.9,7.9,0.0,27.0,12.5,72.4,79.1
29Q195,P.S. 195 William Haberle,Queens,29,3K-5,310,90,442.9,41.1,16.7,44.6,89,453.0,52.8,15.7,42.1,47.0,43.3,3.9,75.8,17.4,1.0,1.3,0.6,28.4,9.0,74.8,71.8
03M163,P.S. 163 Alfred E. Smith,Manhattan,3,3K-5,380,184,442.0,40.8,12.5,43.9,184,452.4,52.7,20.7,41.9,46.7,42.9,3.4,18.7,60.3,15.0,2.6,0.0,25.5,18.2,67.4,68.3
12X061,P.S. 061 Francisco Oller,Bronx,12,3K-5,211,76,447.0,44.7,14.5,48.8,78,450.5,48.7,12.8,36.7,46.7,42.7,0.9,18.5,78.2,0.9,0.9,0.5,22.3,15.6,>95%,92.0
22K109,P.S. 109,Brooklyn,22,PK-8,532,352,448.1,48.6,21.6,55.7,341,446.6,44.9,7.6,29.4,46.7,42.6,3.6,73.5,17.9,2.3,2.3,0.6,32.1,10.3,85.7,83.3
